Name,Text,Translation
Monólogo,"The day after the Arima Kinen, Team Sirius embarks on a new
chapter...","No dia seguinte ao Arima Kinen, a Equipe Sirius embarca em um novo capítulo..."
Mejiro McQueen,What do you <i>MEAN</i> the team will be disbanded?!,<i>COMO ASSIM</i> a equipe será dissolvida?!
Monólogo,...beginning with a shock.,...começando com um choque.
Tazuna Hayakawa,"Well you see, all of the other members have transferred out and only
you remain.","Bem, veja bem, todas as outras integrantes se transferiram e apenas você restou."
Tazuna Hayakawa,I'm afraid that one member is well below the team minimum.,Receio que uma integrante esteja bem abaixo do mínimo da equipe.
Tazuna Hayakawa,"If you aren't able to gather more members, I'm afraid we have little
choice.","Se você não conseguir reunir mais integrantes, receio que tenhamos pouca escolha."
Mejiro McQueen,How could this happen overnight?! How could everyone be so cold?,Como isso pôde acontecer do dia para a noite?! Como todas puderam ser tão frias?
Mejiro McQueen,How is it that you <i>ARE</i> so calm?!,Como é que você <i>CONSEGUE</i> manter a calma?!
Mejiro McQueen,The team that you inherited only yesterday is disintegrating!,A equipe que você herdou apenas ontem está se desintegrando!
<username>,"Tazuna, is the disbandment immediate?","Tazuna, a dissolução é imediata?"
Tazuna Hayakawa,"No, I don't think so. This is actually the first time this has ever
happened...","Não, creio que não. Na verdade, esta é a primeira vez que isso acontece..."
Tazuna Hayakawa,"But this extension is temporary at best. Without talking to the
higher-ups, I can't say how long you'll have.","Mas esta extensão é, na melhor das hipóteses, temporária. Sem falar com os superiores, não posso dizer quanto tempo você terá."
Tazuna Hayakawa,Yes. I'm sorry that it's come to this when you've just taken over...,Sim. Sinto muito que tenha chegado a este ponto logo agora que você assumiu...
Mejiro McQueen,Hmph! Not a problem! We'll gather new team members posthaste!,Hmph! Não é um problema! Reuniremos novas integrantes para a equipe imediatamente!
Mejiro McQueen,"<i>I</i> am a Mejiro! I'll prove just how much power there is to the Mejiro
name!",*Eu* sou uma Mejiro! Vou provar quanta força existe no nome Mejiro!
Mejiro McQueen,"Our team is looking for new recruits! Come sweat out your youth with
us!",Nossa equipe está procurando novas recrutas! Venham suar sua juventude conosco!
Mejiro McQueen,"Rookie or veteran, we welcome all runners! We'll make you feel right
at home!","Novatas ou veteranas, damos as boas-vindas a todas as corredoras! Faremos vocês se sentirem em casa!"
Mejiro McQueen,"Come one, come all! Come and get your freshly picked carrots here.
They're cheap!","Venham todos, venham todas! Venham pegar suas cenouras colhidas na hora aqui. Estão baratas!"
Mejiro McQueen,"Act now, and we'll throw in a special deal: free membership to Team
Sirius! Hey, you there! What say you?!","Aproveitem agora e incluiremos uma oferta especial: inscrição gratuita na Equipe Sirius! Ei, você aí! O que me diz?!"
